Index,SPX
2017-03-20,2378.25
2017-03-21,2373.47
2017-03-22,2344.02
2017-03-23,2348.45
2017-03-24,2345.96
2017-03-27,2343.98
2017-03-28,2341.59
2017-03-29,2358.57
2017-03-30,2361.13
2017-03-31,2368.06
2017-04-03,2362.72
2017-04-04,2358.84
2017-04-05,2360.16
2017-04-06,2352.95
2017-04-07,2357.49
2017-04-10,2355.54
2017-04-11,2357.16
2017-04-12,2353.78
2017-04-13,2344.93
2017-04-17,2328.95
2017-04-18,2349.01
2017-04-19,2342.19
2017-04-20,2338.17
2017-04-21,2355.84
2017-04-24,2348.69
2017-04-25,2374.15
2017-04-26,2388.61
2017-04-27,2387.45
2017-04-28,2388.77
2017-05-01,2384.2
2017-05-02,2388.33
2017-05-03,2391.17
2017-05-04,2388.13
2017-05-05,2389.52
2017-05-08,2399.29
2017-05-09,2399.38
2017-05-10,2396.92
2017-05-11,2399.63
2017-05-12,2394.44
2017-05-15,2390.9
2017-05-16,2402.32
2017-05-17,2400.67
2017-05-18,2357.03
2017-05-19,2365.72
2017-05-22,2381.73
2017-05-23,2394.02
2017-05-24,2398.42
2017-05-25,2404.39
2017-05-26,2415.07
2017-05-30,2415.82
2017-05-31,2412.91
2017-06-01,2411.8
2017-06-02,2430.06
2017-06-05,2439.07
2017-06-06,2436.1
2017-06-07,2429.33
2017-06-08,2433.14
2017-06-09,2433.79
2017-06-12,2431.77
2017-06-13,2429.39
2017-06-14,2440.35
2017-06-15,2437.92
2017-06-16,2432.46
2017-06-19,2433.15
2017-06-20,2453.46
2017-06-21,2437.03
2017-06-22,2435.61
2017-06-23,2434.5
2017-06-26,2438.3
2017-06-27,2439.07
2017-06-28,2419.38
2017-06-29,2440.69
2017-06-30,2419.7
2017-07-03,2423.41
2017-07-05,2429.01
2017-07-06,2432.54
2017-07-07,2409.75
2017-07-10,2425.18
2017-07-11,2427.43
2017-07-12,2425.53
2017-07-13,2443.25
2017-07-14,2447.83
2017-07-17,2459.27
2017-07-18,2459.14
2017-07-19,2460.61
2017-07-20,2473.83
2017-07-21,2473.45
2017-07-24,2472.54
2017-07-25,2469.91
2017-07-26,2477.13
2017-07-27,2477.83
2017-07-28,2475.42
2017-07-31,2472.1
2017-08-01,2470.3
2017-08-02,2476.35
2017-08-03,2477.57
2017-08-04,2472.16
2017-08-07,2476.83
2017-08-08,2480.91
2017-08-09,2474.92
2017-08-10,2474.02
2017-08-11,2438.21
2017-08-14,2441.32
2017-08-15,2465.84
2017-08-16,2464.61
2017-08-17,2468.11
2017-08-18,2430.01
2017-08-21,2425.55
2017-08-22,2428.37
2017-08-23,2452.51
2017-08-24,2444.04
2017-08-25,2438.97
2017-08-28,2443.05
2017-08-29,2444.24
2017-08-30,2446.3
2017-08-31,2457.59
2017-09-01,2471.65
2017-09-05,2476.55
2017-09-06,2457.85
2017-09-07,2465.54
2017-09-08,2465.1
2017-09-11,2461.43
2017-09-12,2488.11
2017-09-13,2496.48
2017-09-14,2498.37
2017-09-15,2495.62
2017-09-18,2500.23
2017-09-19,2503.87
2017-09-20,2506.65
2017-09-21,2508.24
2017-09-22,2500.6
2017-09-25,2502.22
2017-09-26,2496.66
2017-09-27,2496.84
2017-09-28,2507.04
2017-09-29,2510.06
2017-10-02,2519.36
2017-10-03,2529.12
