Index,UKX
2013-10-17,6571.59
2013-10-18,6576.16
2013-10-21,6622.58
2013-10-22,6654.2
2013-10-23,6695.66
2013-10-24,6674.48
2013-10-25,6713.18
2013-10-28,6721.34
2013-10-29,6725.82
2013-10-30,6774.73
2013-10-31,6777.7
2013-11-01,6731.43
2013-11-04,6734.74
2013-11-05,6763.62
2013-11-06,6746.84
2013-11-07,6741.69
2013-11-08,6697.22
2013-11-11,6708.42
2013-11-12,6728.37
2013-11-13,6726.79
2013-11-14,6630.0
2013-11-15,6666.13
2013-11-18,6693.44
2013-11-19,6723.46
2013-11-20,6698.01
2013-11-21,6681.08
2013-11-22,6681.33
2013-11-25,6674.3
2013-11-26,6694.62
2013-11-27,6636.22
2013-11-28,6649.47
2013-11-29,6654.47
2013-12-02,6650.57
2013-12-03,6595.33
2013-12-04,6532.43
2013-12-05,6509.97
2013-12-06,6498.33
2013-12-09,6551.99
2013-12-10,6559.48
2013-12-11,6523.31
2013-12-12,6507.72
2013-12-13,6445.25
2013-12-16,6439.96
2013-12-17,6522.2
2013-12-18,6486.19
2013-12-19,6492.08
2013-12-20,6584.7
2013-12-23,6606.58
2013-12-24,6678.61
2013-12-27,6694.17
2013-12-30,6750.87
2013-12-31,6731.27
2014-01-02,6749.09
2014-01-03,6717.91
2014-01-06,6730.67
2014-01-07,6730.73
2014-01-08,6755.45
2014-01-09,6721.78
2014-01-10,6691.34
2014-01-13,6739.94
2014-01-14,6757.15
2014-01-15,6766.86
2014-01-16,6819.86
2014-01-17,6815.42
2014-01-20,6829.3
2014-01-21,6836.73
2014-01-22,6834.26
2014-01-23,6826.33
2014-01-24,6773.28
2014-01-27,6663.74
2014-01-28,6550.66
2014-01-29,6572.33
2014-01-30,6544.28
2014-01-31,6538.45
2014-02-03,6510.44
2014-02-04,6465.66
2014-02-05,6449.27
2014-02-06,6457.89
2014-02-07,6558.28
2014-02-10,6571.68
2014-02-11,6591.55
2014-02-12,6672.66
2014-02-13,6675.03
2014-02-14,6659.42
2014-02-17,6663.62
2014-02-18,6736.0
2014-02-19,6796.43
2014-02-20,6796.71
2014-02-21,6812.99
2014-02-24,6838.06
2014-02-25,6865.86
2014-02-26,6830.5
2014-02-27,6799.15
2014-02-28,6810.27
2014-03-03,6809.7
2014-03-04,6708.35
2014-03-05,6823.77
2014-03-06,6775.42
2014-03-07,6788.49
2014-03-10,6712.67
2014-03-11,6689.45
2014-03-12,6685.52
